Date,Agriculture_Industry_Index
2025-04-01,23648.595927458027
2025-05-01,21351.898566723263
2025-06-01,23272.03670551502
2025-07-01,23155.141113968944
2025-08-01,23280.39152414998
2025-09-01,23502.216806849967
2025-10-01,23062.28948097782
2025-11-01,22356.282174525917
2025-12-01,23204.600578524332
2026-01-01,25089.552459719915
2026-02-01,24683.805317005746
2026-03-01,25974.577478532727
2026-04-01,26373.129806528737
2026-05-01,24073.650559534784
2026-06-01,25982.225091087126
2026-07-01,25864.324062946376
2026-08-01,26000.240260529226
2026-09-01,26214.469157620355
2026-10-01,25791.632339222644
2026-11-01,25079.037487062833
2026-12-01,25900.9089836055
2027-01-01,27793.057694393814
2027-02-01,27402.579493719273
2027-03-01,28683.393039736657
2027-04-01,29097.249208669942
2027-05-01,26796.02727421689
2027-06-01,28691.937802746703
2027-07-01,28573.614569735644
2027-08-01,28720.18787030586
2027-09-01,28926.731796623095
2027-10-01,28521.016776558736
2027-11-01,27801.74301434146
2027-12-01,28597.17328166994
2028-01-01,30496.40647110443
2028-02-01,30121.809666290937
2028-03-01,31423.340154298727
2028-04-01,31790.608874994407
2028-05-01,29497.7386253621
