Date,HPG_Price,SP500_Price,VNINDEX_Price
2020-04-01,8601.3,2470.5,680.23
2020-05-01,9607.9,2830.7,769.11
2020-06-01,12650.4,3055.7,878.67
2020-07-01,12536.0,3115.9,843.49
2020-08-01,12767.1,3271.1,798.39
2020-09-01,13826.4,3526.7,891.73
2020-10-01,15052.9,3380.8,914.09
2020-11-01,17060.0,3270.0,925.47
2020-12-01,19847.6,3662.4,1008.87
2021-01-01,23582.9,3756.1,1103.87
2021-02-01,21380.7,3773.9,1035.51
2021-03-01,25757.2,3901.8,1186.17
2021-04-01,27039.5,4019.9,1216.1
2021-05-01,33339.5,4181.2,1239.39
2021-06-01,42003.7,4202.0,1337.78
2021-07-01,39960.3,4319.9,1417.08
2021-08-01,35759.9,4395.3,1310.05
2021-09-01,37235.7,4524.1,1334.65
2021-10-01,40414.4,4357.0,1334.89
2021-11-01,42155.1,4613.7,1438.97
2021-12-01,37084.4,4513.0,1485.19
2022-01-01,35381.5,4766.2,1498.28
2022-02-01,32581.3,4546.5,1478.96
2022-03-01,35495.0,4306.26,1498.78
2022-04-01,34586.9,4545.86,1516.44
2022-05-01,28897.0,4131.93,1366.8
2022-06-01,23634.0,4101.23,1299.52
2022-07-01,20364.0,3825.33,1198.9
2022-08-01,20727.0,4118.63,1231.35
2022-09-01,21727.0,3966.85,1280.51
2022-10-01,17955.0,3585.62,1132.11
2022-11-01,13636.0,3856.1,1033.75
2022-12-01,16545.0,4076.57,1036.28
2023-01-01,17500.0,3839.5,1007.09
2023-02-01,19182.0,4119.21,1075.97
2023-03-01,19000.0,3951.39,1040.55
2023-04-01,19091.0,4109.31,1064.64
2023-05-01,19364.0,4167.87,1049.12
2023-06-01,19455.0,4221.02,1078.39
2023-07-01,23818.0,4450.38,1120.18
2023-08-01,25000.0,4576.73,1217.56
2023-09-01,25273.0,4515.77,1224.05
2023-10-01,23818.0,4288.05,1154.15
2023-11-01,21773.0,4237.86,1039.66
2023-12-01,24455.0,4594.63,1102.16
2024-01-01,24955.0,4769.83,1129.93
2024-02-01,25318.0,4906.19,1173.02
2024-03-01,28045.0,5137.08,1258.28
2024-04-01,27364.0,5243.77,1281.52
2024-05-01,25773.0,5018.39,1209.52
2024-06-01,29000.0,5277.51,1261.72
2024-07-01,28350.0,5475.09,1254.56
2024-08-01,26700.0,5446.68,1226.96
2024-09-01,25250.0,5648.4,1283.87
2024-10-01,26750.0,5708.75,1292.2
2024-11-01,26550.0,5728.8,1254.89
2024-12-01,26900.0,6032.38,1250.46
2025-01-01,27000.0,5881.63,1266.78
2025-02-01,26400.0,6040.53,1265.05
2025-03-01,28050.0,5954.5,1305.36
2025-04-01,27000.0,5633.07,1317.33
