Date,MBB_Price,SP500_Price,VNINDEX_Price,Banking_Industry_Index
2020-04-01,8270.4,2470.5,680.23,32070.515287341736
2020-05-01,8429.9,2830.7,769.11,31077.184997461365
2020-06-01,9493.6,3055.7,878.67,38729.23858566306
2020-07-01,8988.4,3115.9,843.49,36847.8635872497
2020-08-01,8616.1,3271.1,798.39,35112.78452067401
2020-09-01,9626.6,3526.7,891.73,38087.09584933203
2020-10-01,10557.3,3380.8,914.09,38870.92809396122
2020-11-01,11009.4,3270.0,925.47,39147.206590930735
2020-12-01,12752.6,3662.4,1008.87,42470.85586424651
2021-01-01,14648.6,3756.1,1103.87,47623.14094580014
2021-02-01,13580.2,3773.9,1035.51,43213.28592485641
2021-03-01,17500.0,3901.8,1186.17,48764.29214927173
2021-04-01,18024.7,4019.9,1216.1,48598.19496398312
2021-05-01,19290.1,4181.2,1239.39,49580.62068511409
2021-06-01,23580.2,4202.0,1337.78,55081.19774061499
2021-07-01,26821.0,4319.9,1417.08,59098.07601386729
2021-08-01,24000.0,4395.3,1310.05,50866.10882810269
2021-09-01,23250.0,4524.1,1334.65,50301.804268079846
2021-10-01,22875.0,4357.0,1334.89,48939.98270158348
2021-11-01,23666.7,4613.7,1438.97,50591.28901247105
2021-12-01,24583.3,4513.0,1485.19,52073.139144162735
2022-01-01,24250.0,4766.2,1498.28,53414.35955002698
2022-02-01,28166.7,4546.5,1478.96,61453.12442166726
2022-03-01,28333.3,4306.26,1498.78,57146.52175610066
2022-04-01,27750.0,4545.86,1516.44,56249.49187636848
2022-05-01,19986.0,4131.93,1366.8,44719.16095658935
2022-06-01,19086.9,4101.23,1299.52,43780.31572128963
2022-07-01,16735.7,3825.33,1198.9,41153.99453241519
2022-08-01,18326.2,4118.63,1231.35,43628.03619061974
2022-09-01,19584.9,3966.85,1280.51,45559.22105400946
2022-10-01,15518.5,3585.62,1132.11,37679.24003823818
2022-11-01,14937.6,3856.1,1033.75,39183.55468140133
2022-12-01,14771.6,4076.57,1036.28,38908.95417764098
2023-01-01,12989.0,3839.5,1007.09,40132.059473867936
2023-02-01,13639.0,4119.21,1075.97,42735.204374385175
2023-03-01,12737.0,3951.39,1040.55,44125.9715403167
2023-04-01,13494.0,4109.31,1064.64,44576.33943848571
2023-05-01,13134.0,4167.87,1049.12,42576.07750452195
2023-06-01,13567.0,4221.02,1078.39,44443.504736933966
2023-07-01,14945.0,4450.38,1120.18,46970.86295735093
2023-08-01,16038.0,4576.73,1217.56,50429.62184415956
2023-09-01,16293.0,4515.77,1224.05,50336.35556119696
2023-10-01,15825.0,4288.05,1154.15,47875.68252705233
2023-11-01,14634.0,4237.86,1039.66,46935.32973614064
2023-12-01,15145.0,4594.63,1102.16,46953.80906292641
2024-01-01,16038.0,4769.83,1129.93,47382.08060165647
2024-02-01,18633.0,4906.19,1173.02,51694.943785104566
2024-03-01,20420.0,5137.08,1258.28,56914.32948307048
2024-04-01,21186.0,5243.77,1281.52,56299.51121759274
2024-05-01,19058.0,5018.39,1209.52,53863.63162821693
2024-06-01,19652.0,5277.51,1261.72,52274.770856471936
2024-07-01,19522.0,5475.09,1254.56,50675.70031415606
2024-08-01,20348.0,5446.68,1226.96,52956.35764605084
2024-09-01,21217.0,5648.4,1283.87,54131.35686859392
2024-10-01,22304.0,5708.75,1292.2,55197.00767937042
2024-11-01,21391.0,5728.8,1254.89,55065.952368863655
2024-12-01,21000.0,6032.38,1250.46,55120.61649160664
2025-01-01,21913.0,5881.63,1266.78,54766.360264018025
2025-02-01,22050.0,6040.53,1265.05,54877.76750864722
2025-03-01,23100.0,5954.5,1305.36,56738.28777012661
2025-04-01,24600.0,5633.07,1317.33,45906.13754640942
