Date,VNM_Price,SP500_Price,VNINDEX_Price,Consumer_Industry_Index
2020-04-01,80862.0,2470.5,680.23,88384.60756828633
2020-05-01,79238.0,2830.7,769.11,93184.99340683692
2020-06-01,94257.0,3055.7,878.67,108727.38921823924
2020-07-01,87375.5,3115.9,843.49,97907.19363953682
2020-08-01,83185.7,3271.1,798.39,97949.04360352374
2020-09-01,93850.6,3526.7,891.73,110389.51820045432
2020-10-01,101229.3,3380.8,914.09,112882.75666241896
2020-11-01,99654.8,3270.0,925.47,112094.338079672
2020-12-01,101599.8,3662.4,1008.87,116664.50119120174
2021-01-01,101229.3,3756.1,1103.87,119094.4548174414
2021-02-01,95994.9,3773.9,1035.51,107707.71062108704
2021-03-01,98705.6,3901.8,1186.17,115167.56618095184
2021-04-01,94405.9,4019.9,1216.1,109835.5827469666
2021-05-01,84115.6,4181.2,1239.39,98889.89844312704
2021-06-01,82554.5,4202.0,1337.78,95944.9664801374
2021-07-01,83472.8,4319.9,1417.08,101483.73954235693
2021-08-01,79432.3,4395.3,1310.05,95006.52523685522
2021-09-01,80901.6,4524.1,1334.65,93789.11020001108
2021-10-01,83887.8,4357.0,1334.89,96947.23336472934
2021-11-01,84074.6,4613.7,1438.97,99867.04304947642
2021-12-01,81739.2,4513.0,1485.19,97418.66973239514
2022-01-01,80991.9,4766.2,1498.28,97004.10909191644
2022-02-01,79305.7,4546.5,1478.96,95044.00027702365
2022-03-01,75221.7,4306.26,1498.78,98566.21042717047
2022-04-01,73612.8,4545.86,1516.44,97225.01889301345
2022-05-01,65323.4,4131.93,1366.8,64045.73034517148
2022-06-01,64782.8,4101.23,1299.52,62841.086375976505
2022-07-01,66404.7,3825.33,1198.9,63740.684747077394
2022-08-01,68502.1,4118.63,1231.35,69998.41570170093
2022-09-01,72230.1,3966.85,1280.51,72215.56834173638
2022-10-01,66172.1,3585.62,1132.11,67840.86930023825
2022-11-01,74746.5,3856.1,1033.75,71415.25192531441
2022-12-01,73621.0,4076.57,1036.28,67227.63565848523
2023-01-01,71390.5,3839.5,1007.09,65915.76270153471
2023-02-01,70208.3,4119.21,1075.97,67967.92492658873
2023-03-01,69935.5,3951.39,1040.55,68121.20034350934
2023-04-01,67661.9,4109.31,1064.64,65796.03279960107
2023-05-01,62387.2,4167.87,1049.12,61574.83766413651
2023-06-01,60113.6,4221.02,1078.39,59300.79749570613
2023-07-01,64297.0,4450.38,1120.18,60573.8620422184
2023-08-01,69117.0,4576.73,1217.56,63630.86065710011
2023-09-01,75268.9,4515.77,1224.05,66481.86425840766
2023-10-01,71040.3,4288.05,1154.15,62385.80209429885
2023-11-01,66153.9,4237.86,1039.66,55029.71859936837
2023-12-01,64274.6,4594.63,1102.16,56797.508393816825
2024-01-01,64656.0,4769.83,1129.93,56339.39542356917
2024-02-01,63898.7,4906.19,1173.02,54542.16277910132
2024-03-01,67685.3,5137.08,1258.28,56682.43487173804
2024-04-01,64245.5,5243.77,1281.52,54430.142057731726
2024-05-01,62711.3,5018.39,1209.52,53615.87229209374
2024-06-01,63382.5,5277.51,1261.72,55067.45581472658
2024-07-01,63286.6,5475.09,1254.56,55095.05468447006
2024-08-01,67409.9,5446.68,1226.96,55895.991246052414
2024-09-01,71245.4,5648.4,1283.87,58118.55526621973
2024-10-01,69555.7,5708.75,1292.2,57240.48091306997
2024-11-01,65289.1,5728.8,1254.89,54544.76281234417
2024-12-01,63999.2,6032.38,1250.46,54247.34578092968
2025-01-01,63100.0,5881.63,1266.78,55027.73272757494
2025-02-01,60500.0,6040.53,1265.05,52915.65737714001
2025-03-01,63200.0,5954.5,1305.36,53876.65244611889
2025-04-01,60800.0,5633.07,1317.33,51742.78907418693
